Study	Study_accession	Sample_type	Sample_group	Secondary_sample_accession	Run_accession	Sample_alias	Host	Common_name	Species	Subspeices	Kind	Habitat	Diet	Country	Other_sample_codes	Age_BP	avg_gc	avg_rl	No_reads_no_human
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573610	SRR17524621	2008-09.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	251.951271527442	49704
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573609	SRR17524620	2008-10.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	52	251.964834731685	71036
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573612	SRR17524619	2008-12.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	251.971159831247	57836
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573614	SRR17524618	2008-15.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	251.998531687765	50398
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573380	SRR17524427	20aB-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	250.340166138768	16733
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573379	SRR17524423	20bB-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	250.095679629112	25021
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573381	SRR17524421	23B-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	249.712559434681	38067
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573384	SRR17524420	5B-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	248.985309548793	38120
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573401	SRR17524403	60.01.O	Howler Monkey	Guatemalan black howler	Alouatta pigra	NA	Platyrrhini	Wild	Folivore	Guatemala	NA	7	53	252.283616820876	36098
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573402	SRR17524402	60.02.O	Howler Monkey	Guatemalan black howler	Alouatta pigra	NA	Platyrrhini	Wild	Folivore	Guatemala	NA	7	53	252.429959122676	45502
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573403	SRR17524400	61.01.O	Howler Monkey	Guatemalan black howler	Alouatta pigra	NA	Platyrrhini	Wild	Folivore	Guatemala	NA	7	53	252.503737515442	47759
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573404	SRR17524399	61.02.O	Howler Monkey	Guatemalan black howler	Alouatta pigra	NA	Platyrrhini	Wild	Folivore	Guatemala	NA	7	53	252.244395405988	39878
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573405	SRR17524398	61.03.O	Howler Monkey	Guatemalan black howler	Alouatta pigra	NA	Platyrrhini	Wild	Folivore	Guatemala	NA	7	53	252.584907847456	43135
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573407	SRR17524401	61.04.O	Howler Monkey	Guatemalan black howler	Alouatta pigra	NA	Platyrrhini	Wild	Folivore	Guatemala	NA	7	52	252.411741427873	42959
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573383	SRR17524418	9B-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	249.194913736493	33502
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573633	SRR17524598	Abby.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	52	252.419951091626	45391
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573024	SRR17523907	Abe.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	52	251.703369110273	72393
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573733	SRR17524498	Achilles.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	52	252.424506297621	32155
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573256	SRR17524105	Afrika.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.420499068382	57427
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572767	SRR17523822	Aiden.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.073728465956	39008
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573038	SRR17523894	Alberto.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.020808701821	67664
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572756	SRR17523833	Amanda.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.47168020251	37924
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573046	SRR17523885	Anthony.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.273051862909	49573
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573643	SRR17524588	April.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	252.362437575481	30637
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573041	SRR17523889	Ardis.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	251.939928729	58930
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573720	SRR17524511	Arthur.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.095005569713	65533
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573658	SRR17524573	Asega.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	251.212310016048	52965
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573634	SRR17524597	Asterix.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	252.010766470136	31208
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573447	SRR17524355	Ba1.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	252.320972729175	43013
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573703	SRR17524526	Bahati.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	51	251.521402364452	44154
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572967	SRR17523964	Balaku.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.725195370462	60654
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573489	SRR17524312	Baron.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.547590812063	54811
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573717	SRR17524513	Bebe.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.24256404486	53322
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572960	SRR17523970	Becky.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.220729614526	54193
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573037	SRR17523893	Berkie.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	52	252.02207293666	62520
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572949	SRR17523980	Billi.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	52	250.800114559254	48883
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573714	SRR17524517	Brett.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	251.943802672941	51853
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573122	SRR17524244	Buba516.RO	Galago	Southern lesser galago	Galago Moholi	NA	Strepsirrhini	Wild	Carnivore	South Africa	NA	7	52	265.085265709221	27643
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573369	SRR17524433	BubaL316.RO	Galago	Thick-tailed bushbaby	Otolemur crassicaudatus	NA	Strepsirrhini	Wild	Omnivore	South Africa	NA	7	52	250.448235212537	28842
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572761	SRR17523828	Buboo.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	52	251.835516392792	62985
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573725	SRR17524506	Buffy.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.168093312012	42524
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573043	SRR17523888	Butters.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.24339953078	60526
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573681	SRR17524549	Bwambale.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.860864208396	22726
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573716	SRR17524515	Callie.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	52	251.891032737625	50584
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573712	SRR17524520	Carl.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.051117001136	52820
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573459	SRR17524346	Cindy.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	52	251.337329271888	50885
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572754	SRR17523835	Clarice.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.094924192485	57646
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573025	SRR17523906	Clint.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.354926918194	61438
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573231	SRR17524129	Connie.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.415454653958	58649
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572770	SRR17523819	Corey.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	251.859585735168	72514
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572759	SRR17523830	Cristin.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	251.981122021771	65685
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572763	SRR17523826	Dusty.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.07851021056	75608
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573448	SRR17524353	DZ.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	252.313207923756	40082
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573044	SRR17523886	Ed.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.169697950596	49429
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572768	SRR17523821	Eddie.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	51	251.218036581491	44066
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573031	SRR17523900	Edison.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	251.982895626034	42913
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573028	SRR17523904	Elmer.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.020653786777	66719
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572760	SRR17523829	Elton.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	52	252.028146263654	49527
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573129	SRR17524235	ELWood.RO	Gibbon	Eastern Hoolock Gibbon	Hoolock leuconedys	NA	Hominoid	Captive	Omnivore	USA	NA	7	53	251.160265005127	50716
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573449	SRR17524352	EQ.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	252.263074025786	27612
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573432	SRR17524368	F.Ak.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.918433719266	38435
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573434	SRR17524369	F.Ay.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.894773519164	43050
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573433	SRR17524370	F.Az.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.805925557077	40165
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573271	SRR17524371	F.Ba1.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	53	250.497197350222	68685
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573269	SRR17524092	F.Bw.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	52	250.657421068162	33890
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573270	SRR17524093	F.Bz.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	52	250.623536299766	34160
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573267	SRR17524095	F.Fu.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	53	250.673580502982	26999
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573266	SRR17524096	F.Jm.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.856440429822	36201
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573264	SRR17524098	F.Jz.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.85835905437	58966
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573265	SRR17524097	F.La1.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	50	251.332898106764	39826
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573446	SRR17524356	F.Lt.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	52	250.707473342181	43702
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573435	SRR17524367	F.Ly.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	52	250.493004324599	39310
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573445	SRR17524357	F.Lz.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.878366952531	41395
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573441	SRR17524362	F.Ou.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	251.011041790454	40392
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573443	SRR17524359	F.Pz.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.910144624863	38306
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573444	SRR17524358	F.Uy.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.792737835875	34425
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573437	SRR17524364	F.Vq.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.740039621396	31801
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573442	SRR17524360	F.Vr.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.73156777706	43348
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573438	SRR17524365	F.Vz.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	52	250.595893098487	45874
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573440	SRR17524361	F.Zm.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	53	250.58151559218	61890
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573436	SRR17524366	F.Zr.O	Mangabey	Sooty Mangabey	Cercocebus atys	NA	Cercopithecoid	Captive	Omnivore	USA	NA	7	51	250.821448944666	43825
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572762	SRR17523827	Gabby.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.309716117361	63019
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573718	SRR17524514	Garrett.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	52	251.825335397317	38760
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573726	SRR17524505	Georgette.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.00455523219	39515
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573047	SRR17523883	Gilda.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.22990844354	71759
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572755	SRR17523834	Gomez.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.199051303145	57131
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573042	SRR17523890	Gordy.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.31550952372	53393
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573727	SRR17524504	Gunther.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.242549061383	42243
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573029	SRR17523901	Gus.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.268661747631	53398
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573722	SRR17524508	Hans.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.311443278196	54591
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573713	SRR17524519	Harry.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.049501979222	69977
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572771	SRR17523818	Hermione.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.094609196782	66632
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572871	SRR17524057	Hester.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	54	251.831022965232	57783
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572875	SRR17524053	Hira.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	55	251.382107791768	62027
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573640	SRR17524590	Hope.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	52	252.548702019081	45070
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573027	SRR17523903	Ikuru.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	52	250.666813254469	45479
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573470	SRR17524332	Indi.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	52	251.264207980653	39696
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572874	SRR17524054	Isaac.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	54	251.516490765171	75800
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573022	SRR17523909	Johnny.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	50	252.240986648234	27487
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572764	SRR17523825	Josh.O	Titi Monkey	Coppery titi	Plecturocebus cupreus	NA	Platyrrhini	Captive	Frugivore	USA	NA	7	51	252.096512805672	41466
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573636	SRR17524596	Juliet.O	Sifaka	Verreaux's sifaka	Propithecus verreauxi	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	52	252.257919279627	31095
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572757	SRR17523832	Kalema.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	52	251.205409029951	44740
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572933	SRR17523999	Katie.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.358026362086	36947
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573243	SRR17524122	Kaza.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	53	250.841097797444	40226
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11572944	SRR17524155	Kidogo.O	Chimpanzee	Eastern Chimpanzee	Pan troglodytes	P. t. schweinfurthii	Hominoid	Semi-captive	Omnivore	Uganda	NA	7	52	251.293455667765	47629
